K,BETA,structures,occ
0.01,0.001,"['7KDH', '7KDG']","[0.5113430235536387, 0.48865697644636125]"
0.01,0.001,"['7KDI', '7KDJ']","[0.5877876931844385, 0.4122123068155617]"
0.01,0.001,"['7VXI', '7VXE']","[0.4100365064652315, 0.5899634935347685]"
0.01,0.001,"['7W94', '7W92']","[0.13325641433336402, 0.866743585666636]"
0.01,0.001,"['7WEV', '7VX1']","[0.1906233070998846, 0.8093766929001155]"
0.01,0.001,"['7WK2', '7WVN']","[0.30876135718128384, 0.6912386428187162]"
0.05,0.001,"['7KDH', '7KDG']","[0.5351471765454782, 0.4648528234545219]"
0.05,0.001,"['7KDI', '7KDJ']","[0.730888457170149, 0.269111542829851]"
0.05,0.001,"['7VXI', '7VXE']","[0.2843764066482459, 0.715623593351754]"
0.05,0.001,"['7W94', '7W92']","[0.04006180443042748, 0.9599381955695725]"
0.05,0.001,"['7WEV', '7VX1']","[0.08756410607215988, 0.9124358939278399]"
0.05,0.001,"['7WK2', '7WVN']","[0.15723932492695575, 0.8427606750730441]"
0.1,0.001,"['7KDH', '7KDG']","[0.5477054399813407, 0.4522945600186592]"
0.1,0.001,"['7KDI', '7KDJ']","[0.7900817109541888, 0.20991828904581133]"
0.1,0.001,"['7VXI', '7VXE']","[0.23998964957898133, 0.7600103504210186]"
0.1,0.001,"['7W94', '7W92']","[0.02462320714271907, 0.9753767928572808]"
0.1,0.001,"['7WEV', '7VX1']","[0.06964423180305711, 0.9303557681969429]"
0.1,0.001,"['7WK2', '7WVN']","[0.11909541300059566, 0.8809045869994045]"
0.5,0.001,"['7KDH', '7KDG']","[0.5661364013434838, 0.43386359865651664]"
0.5,0.001,"['7KDI', '7KDJ']","[0.8649693073103786, 0.13503069268962115]"
0.5,0.001,"['7VXI', '7VXE']","[0.1569337467571384, 0.8430662532428617]"
0.5,0.001,"['7W94', '7W92']","[0.01195039115300979, 0.9880496088469903]"
0.5,0.001,"['7WEV', '7VX1']","[0.05556539793697992, 0.9444346020630199]"
0.5,0.001,"['7WK2', '7WVN']","[0.08248612346908914, 0.9175138765309111]"
1,0.001,"['7KDH', '7KDG']","[0.5699979997238461, 0.43000200027615365]"
1,0.001,"['7KDI', '7KDJ']","[0.877136316458379, 0.12286368354162122]"
1,0.001,"['7VXI', '7VXE']","[0.17867787870969287, 0.8213221212903072]"
1,0.001,"['7W94', '7W92']","[0.01048641739367921, 0.9895135826063209]"
1,0.001,"['7WEV', '7VX1']","[0.05213248263564471, 0.9478675173643546]"
1,0.001,"['7WK2', '7WVN']","[0.0773635059535766, 0.9226364940464233]"
5,0.001,"['7KDH', '7KDG']","[0.5731232844296938, 0.4268767155703063]"
5,0.001,"['7KDI', '7KDJ']","[0.8874679475095498, 0.11253205249045084]"
5,0.001,"['7VXI', '7VXE']","[0.1718942553268484, 0.8281057446731529]"
5,0.001,"['7W94', '7W92']","[0.009159556667984549, 0.9908404433320158]"
5,0.001,"['7WEV', '7VX1']","[0.05051493792442146, 0.9494850620755796]"
